Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2025-07-08,0.00003065,0.00003087,0.18248570,0.00003148,0.00003195,0.15766506,0.65966302,0.00003016,0.00003111
2025-07-09,0.00003068,0.00003108,0.18294322,0.00003204,0.00003188,0.15834470,0.65852470,0.00003063,0.00003108
2025-07-10,0.00003095,0.00003153,0.18780524,0.00003275,0.00003247,0.16115684,0.65084778,0.00003086,0.00003158
2025-07-11,0.00003110,0.00003150,0.18784587,0.00003280,0.00003277,0.16112777,0.65083557,0.00003139,0.00003123
2025-07-14,0.00003077,0.00003079,0.18706116,0.00003274,0.00003200,0.15935074,0.65340010,0.00003115,0.00003055
2025-07-15,0.00003095,0.00003104,0.18673821,0.00003277,0.00003190,0.15858289,0.65449026,0.00003142,0.00003054
2025-07-16,0.00003071,0.00003096,0.18483954,0.00003255,0.00003147,0.16711768,0.64785599,0.00003075,0.00003034
2025-07-17,0.00003070,0.00003093,0.18740225,0.00003272,0.00003130,0.16522533,0.64718566,0.00003083,0.00003029
2025-07-18,0.00003066,0.00003106,0.18803531,0.00003301,0.00003016,0.16573267,0.64604587,0.00003110,0.00003016
2025-07-21,0.00003051,0.00003110,0.18696491,0.00003295,0.00003010,0.16562422,0.64722489,0.00003139,0.00002992
2025-07-22,0.00003036,0.00003122,0.18630809,0.00003337,0.00003008,0.16836097,0.64514448,0.00003098,0.00003045
